NACA 0008 Airfoil M=0.0% P=0.0% T=8.0%

idx	 cordin
0  0.000000  0.000000
1	100.000000  0.084000
2	99.901300  0.093200
3	99.605700  0.120800
4	99.114400  0.166400
5	98.429200  0.229500
6	97.552800  0.309500
7	96.488800  0.405500
8	95.241400  0.516400
9	93.815300  0.641300
10	92.216400  0.778800
11	90.450800  0.927600
12	88.525700  1.086500
13	86.448400  1.254000
14	84.227400  1.428600
15	81.871200  1.609000
16	79.389300  1.793700
17	76.791300  1.981100
18	74.087700  2.169800
19	71.289000  2.358200
20	68.406200  2.544800
21	65.450800  2.727800
22	62.434500  2.905700
23	59.369100  3.076600
24	56.266700  3.238700
25	53.139500  3.390300
26	50.000000  3.529400
27	46.860500  3.654000
28	43.733300  3.762400
29	40.630900  3.852600
30	37.565500  3.922900
31	34.549200  3.971600
32	31.593800  3.997300
33	28.711000  3.998700
34	25.912300  3.974600
35	23.208700  3.924400
36	20.610700  3.847600
37	18.128800  3.744000
38	15.772600  3.613800
39	13.551600  3.457500
40	11.474300  3.275900
41	9.549200  3.069900
42	7.783600  2.841000
43	6.184700  2.590600
44	4.758600  2.320200
45	3.511200  2.031500
46	2.447200  1.726200
47	1.570800  1.405900
48	0.885600  1.071900
49	0.394300  0.725600
50	0.098700  0.368000
51	0.000000  0.000000
52	0.098700  -0.368000
53	0.394300  -0.725600
54	0.885600  -1.071900
55	1.570800  -1.405900
56	2.447200  -1.726200
57	3.511200  -2.031500
58	4.758600  -2.320200
59	6.184700  -2.590600
60	7.783600  -2.841000
61	9.549200  -3.069900
62	11.474300  -3.275900
63	13.551600  -3.457500
64	15.772600  -3.613800
65	18.128800  -3.744000
66	20.610700  -3.847600
67	23.208700  -3.924400
68	25.912300  -3.974600
69	28.711000  -3.998700
70	31.593800  -3.997300
71	34.549200  -3.971600
72	37.565500  -3.922900
73	40.630900  -3.852600
74	43.733300  -3.762400
75	46.860500  -3.654000
76	50.000000  -3.529400
77	53.139500  -3.390300
78	56.266700  -3.238700
79	59.369100  -3.076600
80	62.434500  -2.905700
81	65.450800  -2.727800
82	68.406200  -2.544800
83	71.289000  -2.358200
84	74.087700  -2.169800
85	76.791300  -1.981100
86	79.389300  -1.793700
87	81.871200  -1.609000
88	84.227400  -1.428600
89	86.448400  -1.254000
90	88.525700  -1.086500
91	90.450800  -0.927600
92	92.216400  -0.778800
93	93.815300  -0.641300
94	95.241400  -0.516400
95	96.488800  -0.405500
96	97.552800  -0.309500
97	98.429200  -0.229500
98	99.114400  -0.166400
99	99.605700  -0.120800
100	99.901300  -0.093200
101	100.000000  -0.08400
