       Num        Omega   
          1.    16.02033
          2.    16.61622
          3.    37.08574
          4.    48.47709
          5.    50.85527
          6.    56.95935
          7.    59.59139
          8.    61.80271
          9.    62.10236
         10.    62.51253
         11.    62.62664
         12.    64.61047
         13.    65.44010
         14.    66.95891
         15.    67.55047
         16.    67.94984
         17.    68.27644
         18.    68.53295
         19.    68.59303
         20.    69.32107
