        Num         omega   
          1.     2.69208
          2.     2.77331
          3.     5.23065
          4.     6.59146
          5.     8.42247
          6.     9.78466
          7.    31.56323
          8.    35.50840
          9.    39.68864
         10.    48.87106
         11.    51.88881
         12.    60.23805
         13.    63.28526
         14.    67.30474
         15.    72.25951
         16.    74.65101
         17.    78.37287
         18.    81.95855
         19.    86.37383
         20.    88.65386
