       Num        Omega   
          1.     3.55698
          2.     6.41333
          3.     8.08598
          4.    10.35461
          5.    11.28200
          6.    27.12783
          7.    35.19503
          8.    37.29608
          9.    41.73920
         10.    43.27378
         11.    43.82145
         12.    45.60380
         13.    48.86305
         14.    52.54297
         15.    54.26212
         16.    55.19225
         17.    59.84259
         18.    60.25442
         19.    61.35804
         20.    61.60232
