        Num         omega   
          1.    23.55438
          2.    23.56577
          3.    37.25142
          4.    37.34488
          5.    51.88857
          6.    51.91413
          7.    69.79988
          8.    70.38480
          9.    71.98832
         10.    72.04660
         11.    83.23535
         12.    83.25601
         13.    85.31624
         14.    85.36531
         15.    93.53014
         16.    93.58155
         17.    99.49321
         18.    99.55039
         19.   102.38704
         20.   102.42609
