        Num         omega   
          1.     6.25543
          2.     6.84549
          3.    19.08652
          4.    31.32210
          5.    37.36910
          6.    44.73370
          7.    50.90982
          8.    51.89336
          9.    62.19119
         10.    67.27038
         11.    69.72200
         12.    70.53250
         13.    72.55643
         14.    78.98937
         15.    79.14399
         16.    82.65216
         17.    88.84144
         18.    90.54924
         19.    93.11127
         20.    94.22753
